"study_id","clean_sci_name","taxa","intensity","system","feed_data_type","feed_soy","feed_crops","feed_fmfo","feed_animal","fcr_data_type","fcr","Country","iso3c","electric_data_type","Electricity_kwh","diesel_data_type","Diesel_L","petrol_data_type","Petrol_L","natgas_data_type","NaturalGas_L","yield_data_type","Yield_m2_per_t","edible_mean"
243,"Pangasianodon hypophthalmus","catfish","Intensive","Cages & pens","data",0.27,0.595,0.075,0.06,"data",2.82736237686258,"Indonesia","IDN","data",169.641742611755,"data",0.0188490825124172,"data",0.0188490825124172,"data",0.0188490825124172,"data",NA,53.05298013
244,"Pangasianodon hypophthalmus","catfish","Intensive","Cages & pens","data",0.27,0.595,0.075,0.06,"data",2.82736237686258,"Indonesia","IDN","data",169.641742611755,"data",0.0188490825124172,"data",0.0188490825124172,"data",0.0188490825124172,"data",NA,53.05298013
239,"Clarias batrachus","catfish","Intensive","Ponds","data",0.25,0.495,0.095,0.16,"data",2.20534265395281,"Indonesia","IDN","data",33.928348522351,"data",0.0188490825124172,"data",0.0188490825124172,"data",0.0188490825124172,"data",61.6364998156042,53.05298013
240,"Clarias batrachus","catfish","Intensive","Ponds","data",0.25,0.495,0.095,0.16,"data",2.20534265395281,"Indonesia","IDN","data",33.928348522351,"data",0.0188490825124172,"data",0.0188490825124172,"data",0.0188490825124172,"data",61.6364998156042,53.05298013
206,"Pangasianodon hypophthalmus","catfish","Intensive","Ponds","data",0.364,0.53,0.072,0.034,"data",3.57944076910803,"Vietnam","VNM","data",192.260641626655,"data",18.8037722170462,"data",0.0188490825124172,"data",0.0188490825124172,"data",52.588940209644,53.05298013
207,"Pangasianodon hypophthalmus","catfish","Intensive","Ponds","data",0.364,0.53,0.072,0.034,"data",3.57944076910803,"Vietnam","VNM","data",192.260641626655,"data",18.8037722170462,"data",0.0188490825124172,"data",0.0188490825124172,"data",52.588940209644,53.05298013
208,"Pangasianodon hypophthalmus","catfish","Intensive","Ponds","data",0.364,0.53,0.072,0.034,"data",3.57944076910803,"Vietnam","VNM","data",192.260641626655,"data",18.8037722170462,"data",0.0188490825124172,"data",0.0188490825124172,"data",52.588940209644,53.05298013
209,"Pangasianodon hypophthalmus","catfish","Intensive","Ponds","data",0.364,0.53,0.072,0.034,"data",3.57944076910803,"Vietnam","VNM","data",192.260641626655,"data",18.8037722170462,"data",0.0188490825124172,"data",0.0188490825124172,"data",52.588940209644,53.05298013
210,"Pangasianodon hypophthalmus","catfish","Intensive","Ponds","data",0.364,0.53,0.072,0.034,"data",3.57944076910803,"Vietnam","VNM","data",192.260641626655,"data",18.8037722170462,"data",0.0188490825124172,"data",0.0188490825124172,"data",52.588940209644,53.05298013
211,"Pangasianodon hypophthalmus","catfish","Intensive","Ponds","data",0.364,0.53,0.072,0.034,"data",3.57944076910803,"Vietnam","VNM","data",192.260641626655,"data",18.8037722170462,"data",0.0188490825124172,"data",0.0188490825124172,"data",52.588940209644,53.05298013
212,"Pangasianodon hypophthalmus","catfish","Intensive","Ponds","data",0.364,0.53,0.072,0.034,"data",3.57944076910803,"Vietnam","VNM","data",192.260641626655,"data",18.8037722170462,"data",0.0188490825124172,"data",0.0188490825124172,"data",52.588940209644,53.05298013
213,"Pangasianodon hypophthalmus","catfish","Intensive","Ponds","data",0.364,0.53,0.072,0.034,"data",3.57944076910803,"Vietnam","VNM","data",192.260641626655,"data",18.8037722170462,"data",0.0188490825124172,"data",0.0188490825124172,"data",52.588940209644,53.05298013
214,"Pangasianodon hypophthalmus","catfish","Intensive","Ponds","data",0.364,0.53,0.072,0.034,"data",3.57944076910803,"Vietnam","VNM","data",192.260641626655,"data",18.8037722170462,"data",0.0188490825124172,"data",0.0188490825124172,"data",52.588940209644,53.05298013
215,"Pangasianodon hypophthalmus","catfish","Intensive","Ponds","data",0.364,0.53,0.072,0.034,"data",3.57944076910803,"Vietnam","VNM","data",192.260641626655,"data",18.8037722170462,"data",0.0188490825124172,"data",0.0188490825124172,"data",52.588940209644,53.05298013
216,"Pangasianodon hypophthalmus","catfish","Intensive","Ponds","data",0.364,0.53,0.072,0.034,"data",3.5737860443543,"Vietnam","VNM","data",333.628760469784,"data",17.4444633823061,"data",0.0188490825124172,"data",0.0188490825124172,"data",43.3528897785596,53.05298013
217,"Pangasianodon hypophthalmus","catfish","Intensive","Ponds","data",0.364,0.53,0.072,0.034,"data",3.5737860443543,"Vietnam","VNM","data",333.628760469784,"data",17.4444633823061,"data",0.0188490825124172,"data",0.0188490825124172,"data",43.3528897785596,53.05298013
218,"Pangasianodon hypophthalmus","catfish","Intensive","Ponds","data",0.364,0.53,0.072,0.034,"data",3.5737860443543,"Vietnam","VNM","data",333.628760469784,"data",17.4444633823061,"data",0.0188490825124172,"data",0.0188490825124172,"data",43.3528897785596,53.05298013
219,"Pangasianodon hypophthalmus","catfish","Intensive","Ponds","data",0.364,0.53,0.072,0.034,"data",3.5737860443543,"Vietnam","VNM","data",333.628760469784,"data",17.4444633823061,"data",0.0188490825124172,"data",0.0188490825124172,"data",43.3528897785596,53.05298013
220,"Pangasianodon hypophthalmus","catfish","Intensive","Ponds","data",0.364,0.53,0.072,0.034,"data",3.5737860443543,"Vietnam","VNM","data",333.628760469784,"data",17.4444633823061,"data",0.0188490825124172,"data",0.0188490825124172,"data",43.3528897785596,53.05298013
221,"Pangasianodon hypophthalmus","catfish","Intensive","Ponds","data",0.364,0.53,0.072,0.034,"data",3.5737860443543,"Vietnam","VNM","data",333.628760469784,"data",17.4444633823061,"data",0.0188490825124172,"data",0.0188490825124172,"data",43.3528897785596,53.05298013
222,"Pangasianodon hypophthalmus","catfish","Intensive","Ponds","data",0.364,0.53,0.072,0.034,"data",3.5737860443543,"Vietnam","VNM","data",333.628760469784,"data",17.4444633823061,"data",0.0188490825124172,"data",0.0188490825124172,"data",43.3528897785596,53.05298013
223,"Pangasianodon hypophthalmus","catfish","Intensive","Ponds","data",0.364,0.53,0.072,0.034,"data",3.5737860443543,"Vietnam","VNM","data",333.628760469784,"data",17.4444633823061,"data",0.0188490825124172,"data",0.0188490825124172,"data",43.3528897785596,53.05298013
224,"Pangasianodon hypophthalmus","catfish","Intensive","Ponds","data",0.364,0.53,0.072,0.034,"data",2.99700411947433,"Vietnam","VNM","data",107.06278867053,"data",2.78658311253664,"data",0.0188490825124172,"data",0.0188490825124172,"data",40.525527401697,53.05298013
225,"Pangasianodon hypophthalmus","catfish","Intensive","Ponds","data",0.364,0.53,0.072,0.034,"data",2.99700411947433,"Vietnam","VNM","data",107.06278867053,"data",2.78658311253664,"data",0.0188490825124172,"data",0.0188490825124172,"data",40.525527401697,53.05298013
226,"Pangasianodon hypophthalmus","catfish","Intensive","Ponds","data",0.364,0.53,0.072,0.034,"data",2.99700411947433,"Vietnam","VNM","data",107.06278867053,"data",2.78658311253664,"data",0.0188490825124172,"data",0.0188490825124172,"data",40.525527401697,53.05298013
227,"Pangasianodon hypophthalmus","catfish","Intensive","Ponds","data",0.364,0.53,0.072,0.034,"data",2.99700411947433,"Vietnam","VNM","data",107.06278867053,"data",2.78658311253664,"data",0.0188490825124172,"data",0.0188490825124172,"data",40.525527401697,53.05298013
